time,pwm,rpm
0.050,0,0.00
0.100,0,0.00
0.150,0,0.00
0.200,0,0.00
0.250,0,0.00
0.300,0,0.00
0.350,0,0.00
0.400,0,0.00
0.450,0,0.00
0.500,0,0.00
0.550,0,0.00
0.600,0,0.00
0.650,0,0.00
0.700,0,0.00
0.750,0,0.00
0.800,0,0.00
0.850,0,0.00
0.900,0,0.00
0.950,0,0.00
1.000,0,0.00
1.050,0,0.00
1.100,0,0.00
1.150,0,0.00
1.200,0,0.00
1.250,0,0.00
1.300,0,0.00
1.350,0,0.00
1.400,0,0.00
1.450,0,0.00
1.500,0,0.00
1.550,0,0.00
1.600,0,0.00
1.650,0,0.00
1.700,0,0.00
1.750,0,0.00
1.800,0,0.00
1.850,0,0.00
1.900,0,0.00
1.950,0,0.00
2.000,150,0.00
2.050,150,69.62
2.100,150,118.77
2.150,150,122.87
2.200,150,122.87
2.250,150,122.87
2.300,150,122.87
2.350,150,126.96
2.400,150,122.87
2.450,150,122.87
2.500,150,126.96
2.550,150,122.87
2.600,150,122.87
2.650,150,122.87
2.700,150,122.87
2.750,150,122.87
2.800,150,122.87
2.850,150,126.96
2.900,150,122.87
2.950,150,122.87
3.000,150,126.96
3.050,150,122.87
3.100,150,122.87
3.150,150,126.96
3.200,150,122.87
3.250,150,122.87
3.300,150,126.96
3.350,150,122.87
3.400,150,122.87
3.450,150,126.96
3.500,150,122.87
3.550,150,122.87
3.600,150,126.96
3.650,150,122.87
3.700,150,126.96
3.750,150,122.87
3.800,150,122.87
3.850,150,126.96
3.900,150,122.87
3.950,150,122.87
4.000,150,126.96
4.050,150,122.87
4.100,150,122.87
4.150,150,126.96
4.200,150,122.87
4.250,150,122.87
4.300,150,126.96
4.350,150,122.87
4.400,150,122.87
4.450,150,126.96
4.500,150,122.87
4.550,150,122.87
4.600,150,126.96
4.650,150,122.87
4.700,150,122.87
4.750,150,126.96
4.800,150,122.87
4.850,150,126.96
4.900,150,122.87
4.950,150,126.96
5.000,150,122.87
5.050,150,122.87
5.100,150,126.96
5.150,150,122.87
5.200,150,122.87
5.250,150,126.96
5.300,150,122.87
5.350,150,126.96
5.400,150,122.87
5.450,150,126.96
5.500,150,122.87
5.550,150,122.87
5.600,150,126.96
5.650,150,122.87
5.700,150,126.96
5.750,150,122.87
5.800,150,126.96
5.850,150,122.87
5.900,150,126.96
5.950,150,122.87
6.000,150,126.96
6.050,150,122.87
6.100,150,126.96
6.150,150,122.87
6.200,150,126.96
6.250,150,122.87
6.300,150,126.96
6.350,150,122.87
6.400,150,122.87
6.450,150,126.96
6.500,150,122.87
6.550,150,126.96
6.600,150,122.87
6.650,150,126.96
6.700,150,122.87
6.750,150,126.96
6.800,150,122.87
6.850,150,126.96
6.900,150,122.87
6.950,150,126.96
7.000,150,122.87
7.050,150,126.96
7.100,150,122.87
7.150,150,126.96
7.200,150,122.87
7.250,150,126.96
7.300,150,122.87
7.350,150,126.96
7.400,150,122.87
7.450,150,126.96
7.500,150,122.87
7.550,150,122.87
7.600,150,126.96
7.650,150,122.87
7.700,150,126.96
7.750,150,122.87
7.800,150,126.96
7.850,150,122.87
7.900,150,126.96
7.950,150,122.87
8.000,150,126.96
8.050,150,122.87
8.100,150,126.96
8.150,150,122.87
8.200,150,126.96
8.250,150,122.87
8.300,150,126.96
8.350,150,122.87
8.400,150,126.96
8.450,150,122.87
8.500,150,126.96
8.550,150,122.87
8.600,150,126.96
8.650,150,122.87
8.700,150,126.96
8.750,150,122.87
8.800,150,126.96
8.850,150,122.87
8.900,150,122.87
8.950,150,126.96
9.000,150,122.87
9.050,150,126.96
9.100,150,122.87
9.150,150,126.96
9.200,150,122.87
9.250,150,126.96
9.300,150,126.96
9.350,150,122.87
9.400,150,126.96
9.450,150,122.87
9.500,150,126.96
9.550,150,122.87
9.600,150,126.96
9.650,150,122.87
9.700,150,126.96
9.750,150,122.87
9.800,150,126.96
9.850,150,122.87
9.900,150,126.96
9.950,150,122.87
10.000,150,126.96
